płeć,wiek,kierunek_wykształcenia,poziom_wykształcenia,Źródło,Student,Trans
Male,22-24,"Information technology, networking, or system administration",Bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,NA,No formal education past high school,Kaggle 2018,NA,NA
Male,40-44,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,18-21,"A business discipline (accounting, economics, finance, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,40-44,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Bachelor’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Professional degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,60-69,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,NA,NA,Kaggle 2018,NA,NA
Male,25-29,NA,Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Humanities (history, literature, philosophy, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Information technology, networking, or system administration",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Female,22-24,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,NA,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Female,30-34,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,30-34,I never declared a major,Doctoral degree,Kaggle 2018,NA,NA
Female,22-24,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Female,40-44,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,NA,NA,Kaggle 2018,NA,NA
